team,avg_gf,avg_ga,avg_gd,win_rate,draw_rate,loss_rate,pct_high_scoring,n_matches,possession,corners,fouls,attempts,on_target,cluster,cluster_label
Belgium,2.37,0.86,1.51,0.64,0.19,0.17,0.59,100,49.666666666666664,5.666666666666667,10.0,11.333333333333334,3.6666666666666665,1,elite ofensivo
Belize,1.196,1.627,-0.431,0.353,0.137,0.51,0.51,51,,,,,,0,defensivo / debil
Benin,1.0,1.118,-0.118,0.338,0.279,0.382,0.397,68,,,,,,2,equilibrado medio
Bermuda,1.685,2.241,-0.556,0.315,0.148,0.537,0.685,54,,,,,,0,defensivo / debil
Bhutan,0.444,2.815,-2.37,0.148,0.074,0.778,0.519,27,,,,,,3,defensivo / debil
Bolivia,0.932,1.92,-0.989,0.216,0.148,0.636,0.625,88,,,,,,0,defensivo / debil
Bonaire,1.4,2.1,-0.7,0.333,0.133,0.533,0.7,30,,,,,,0,defensivo / debil
Bosnia and Herzegovina,1.098,1.39,-0.293,0.293,0.28,0.427,0.451,82,,,,,,2,equilibrado medio
Botswana,0.845,1.169,-0.324,0.31,0.211,0.479,0.352,71,,,,,,2,equilibrado medio
Brazil,1.96,0.646,1.313,0.626,0.222,0.152,0.424,99,50.4,7.4,12.6,18.0,8.2,1,elite ofensivo
British Virgin Islands,1.054,2.514,-1.459,0.135,0.243,0.622,0.703,37,,,,,,3,defensivo / debil
Brunei,0.844,2.844,-2.0,0.312,0.031,0.656,0.625,32,,,,,,3,defensivo / debil
